gene_symbol,legacy_variability_bin
BRPF3,4
BRSK1,7
BRSK2,1
BRWD1,7
BRWD3,4
BSCL2,9
BSDC1,0
BSG,9
BSN,1
BSND,8
BSPRY,1
BST1,7
BST2,7
BTAF1,6
BTBD1,4
BTBD10,9
BTBD11,4
BTBD16,4
BTBD18,7
BTBD19,6
BTBD2,9
BTBD3,5
BTBD6,2
BTBD7,6
BTBD8,2
BTBD9,7
BTC,6
BTD,9
BTF3,0
BTF3L4,4
BTG1,7
BTG2,6
BTG3,1
BTK,3
BTLA,6
BTN1A1,6
BTNL2,2
BTNL9,6
BTRC,7
BUB1,3
BUB1B,4
BUB3,0
BUD13,2
BUD23,7
BVES,7
BYSL,5
BZW1,7
BZW2,0
C10H12ORF45,4
C10H12ORF56,4
C10H12ORF66,4
C10H22ORF23,9
C10H2ORF42,4
C10H2ORF49,8
C10H2ORF73,7
C11H5ORF15,4
C11H5ORF24,4
C11H5ORF63,6
C11H9ORF152,7
C11H9ORF24,4
C11H9ORF43,6
C11H9ORF72,8
C12H6ORF120,4
C12H6ORF132,6
C12H6ORF136,3
C12H6ORF163,6
C12H6ORF89,6
C14H1ORF35,7
C15H12ORF29,7
C15H12ORF50,4
C15H12ORF73,6
C15H16ORF87,0
C15H1ORF109,3
C15H1ORF122,6
C15H1ORF185,6
C15H1ORF210,4
C15H1ORF216,4
C15H1ORF50,9
C15H4ORF46,4
C16H4ORF47,0
C16H8ORF48,4
C17H1ORF162,0
C17H1ORF56,3
C17H2ORF68,1
C18H11ORF24,4
C18H11ORF49,4
C18H11ORF80,0
C18H11ORF86,3
C18H11ORF95,1
C18H7ORF57,6
C19H2ORF76,8
C19H4ORF33,8
C1D,7
C1GALT1,8
C1GALT1C1,2
C1H18ORF54,4
C1H18ORF63,3
C1H19ORF12,4
C1H19ORF47,7
C1H19ORF54,0
C1H9ORF135,8
C1H9ORF40,0
C1H9ORF64,4
C1H9ORF85,2
C1QA,2
C1QB,4
C1QBP,8
C1QC,7
C1QL1,4
C1QL2,9
C1QL4,9
C1QTNF1,0
C1QTNF2,1
C1QTNF5,3
C1QTNF6,4
C1QTNF7,7
C1R,7
C1RL,0
C1S,4
C2,6
C20H19ORF38,0
C20H19ORF44,8
C20H19ORF53,2
C20H19ORF67,7
C20H19ORF71,2
C20H3ORF14,4
C20H3ORF18,1
C20H3ORF62,7
C21H11ORF54,1
C21H11ORF97,3
C23H3ORF33,4
C24H20ORF194,0
C24H20ORF96,6
C25H2ORF72,0
C26H12ORF65,2
C26H22ORF15,1
C26H22ORF31,6
C26H22ORF39,6
C27H12ORF4,3
C27H12ORF40,1
C27H12ORF60,8
C28H10ORF71,6
C28H10ORF90,0
C29H8ORF34,8
C29H8ORF37,6
C2CD2,7
C2CD2L,2
C2CD3,4
C2CD5,2
C2CD6,4
C3,8
C30H15ORF39,4
C30H15ORF61,0
C30H15ORF62,0
C31H21ORF58,0
C31H21ORF91,6
C32H4ORF36,6
C32H4ORF54,3
C33H3ORF38,7
C33H3ORF52,6
C34H3ORF70,7
C34H5ORF49,7
C35H6ORF52,9
C35H6ORF62,6
C37H2ORF69,7
C37H2ORF88,4
C3AR1,6
C3H4ORF19,0
C4BPA,0
C4BPB,9
C4H1ORF131,6
C4H1ORF198,6
C4H5ORF22,6
C4H5ORF51,4
C5,1
C5AR1,8
C5AR2,3
C5H11ORF52,8
C5H11ORF65,4
C5H11ORF71,0
C5H11ORF87,3
C5H16ORF46,3
C5H16ORF70,3
C5H16ORF86,8
C5H1ORF141,6
C5H1ORF159,4
C5H1ORF174,2
C6,3
C6H16ORF54,7
C6H16ORF71,4
C6H16ORF72,4
C6H16ORF82,0
C6H16ORF89,6
C6H16ORF91,2
C6H1ORF194,6
C6H1ORF52,0
C6H7ORF26,6
C6H7ORF50,4
C7,2
C7H18ORF21,6
C7H18ORF25,7
C7H18ORF32,4
C7H1ORF112,4
C7H1ORF116,7
C7H1ORF21,1
C7H1ORF43,6
C7H1ORF53,4
C7H1ORF74,4
C8G,6
C8H14ORF28,3
C8H14ORF39,7
C8H14ORF93,6
C9H17ORF58,2
C9H17ORF64,0
C9H17ORF67,0
C9H17ORF75,7
C9H17ORF80,8
C9H17ORF98,3
C9H17ORF99,9
CA1,2
CA10,3
CA11,9
CA12,5
CA13,4
CA14,1
CA2,2
CA4,0
CA5B,9
CA6,0
CA7,3
CA8,0
CA9,4
CAAP1,4
CAB39,4
